,English,English_cleaned,Spanish,French,German
20385,we're all right now,we are all right now,estamos bien ahora,nous allons bien maintenant,wir sind jetzt in Ordnung
20386,we're all witnesses,we are all witnesses,todos somos testigos,Nous sommes tous témoins,wir sind alle Zeugen
20387,we're always hungry,we are always hungry,siempre tenemos hambre,nous avons toujours faim,wir haben immer hunger
20388,we're among friends,we are among friends,estamos entre amigos,nous sommes entre amis,wir sind unter freunden
20389,we're aware of that,we are aware of that,Somos conscientes de eso,Nous en sommes conscients,das ist uns bewusst
20390,we're back together,we are back together,estamos de vuelta juntos,nous sommes de retour ensemble,wir sind wieder zusammen
20391,we're being watched,we are being watched,estamos siendo observados,nous sommes surveillés,wir werden beobachtet
20392,we're boiling water,we are boiling water,estamos hirviendo agua,nous faisons bouillir de l'eau,Wir kochen Wasser
20393,we're both teachers,we are both teachers,los dos somos profesores,nous sommes tous les deux professeurs,Wir sind beide Lehrer
20394,we're close friends,we are close friends,somos amigos cercanos,nous sommes des amis proches,wir sind enge Freunde
20395,we're closing early,we are closing early,estamos cerrando temprano,nous fermons tôt,wir schließen früh
20396,we're conscientious,we are conscientious,somos conscientes,nous sommes consciencieux,wir sind gewissenhaft
20397,we're eating apples,we are eating apples,estamos comiendo manzanas,nous mangeons des pommes,wir essen äpfel
20398,we're finally alone,we are finally alone,finalmente estamos solos,nous sommes enfin seuls,endlich sind wir allein
20399,we're finished here,we are finished here,hemos terminado aquí,nous avons fini ici,wir sind hier fertig
20400,we're getting close,we are getting close,nos estamos acercando,nous nous rapprochons,wir kommen näher
20401,we're getting there,we are getting there,estamos llegando allí,nous y arrivons,Wir kommen dahin
20402,we're getting tired,we are getting tired,nos estamos cansando,on se fatigue,wir werden müde
20403,we're going dancing,we are going dancing,vamos a bailar,on va danser,wir gehen tanzen
20404,we're going hunting,we are going hunting,vamos a cazar,nous partons à la chasse,wir gehen jagen
20405,we're halfway there,we are halfway there,estamos a mitad de camino,nous sommes à mi-chemin,Wir sind auf halbem Weg
20406,we're in good hands,we are in good hands,estamos en buenas manos,nous sommes entre de bonnes mains,wir sind in guten händen
20407,we're just children,we are just children,solo somos niños,nous ne sommes que des enfants,wir sind nur Kinder
20408,we're just starting,we are just starting,apenas estamos comenzando,nous commençons tout juste,wir fangen gerade erst an
20409,we're just students,we are just students,solo somos estudiantes,nous ne sommes que des étudiants,Wir sind nur Studenten
20410,we're like brothers,we are like brothers,somos como hermanos,nous sommes comme des frères,wir sind wie brüder
20411,we're not giving up,we are not giving up,no renunciamos,nous n'abandonnons pas,wir geben nicht auf
20412,we're not going out,we are not going out,no vamos a salir,nous ne sortons pas,wir gehen nicht aus
20413,we're not impressed,we are not impressed,no estamos impresionados,nous ne sommes pas impressionnés,wir sind nicht beeindruckt
20414,we're not listening,we are not listening,No estamos escuchando,nous n'écoutons pas,wir hören nicht zu
20415,we're not on a date,we are not on a date,No estamos en una cita,nous ne sommes pas à un rendez-vous,Wir haben kein Date
20416,we're not prisoners,we are not prisoners,No somos prisioneros,nous ne sommes pas prisonniers,wir sind keine Gefangenen
20417,we're not strangers,we are not strangers,No somos extraños,nous ne sommes pas des étrangers,Wir sind keine Fremden
20418,we're not yet there,we are not yet there,Todavía no estamos allí,nous n'en sommes pas encore là,wir sind noch nicht da
20419,we're open tomorrow,we are open tomorrow,Estamos abiertos mañana,nous sommes ouvert demain,wir haben morgen geöffnet
20420,we're out of butter,we are out of butter,Estamos sin mantequilla,nous n'avons plus de beurre,Wir haben keine Butter mehr
20421,we're out of coffee,we are out of coffee,Estamos sin café,nous n'avons plus de café,wir haben keinen kaffee mehr
20422,we're out of danger,we are out of danger,Estamos fuera de peligro,nous sommes hors de danger,wir sind außer Gefahr
20423,we're playing cards,we are playing cards,Estamos jugando a las cartas,nous jouons aux cartes,Wir spielen Karten
20424,we're proud of that,we are proud of that,estamos orgullosos de eso,nous en sommes fiers,darauf sind wir stolz
20425,we're really scared,we are really scared,Estamos realmente asustados,on a vraiment peur,wir haben echt angst
20426,we're still friends,we are still friends,seguimos siendo amigos,nous sommes toujours amis,Wir sind immer noch Freunde
20427,we're still married,we are still married,todavía estamos casados,nous sommes toujours mariés,wir sind immer noch verheiratet
20428,we're tempting fate,we are tempting fate,estamos tentando al destino,nous tentons le destin,wir fordern das Schicksal heraus
20429,we're the champions,we are the champions,somos los campeones,nous sommes les champions,wir sind die Gewinner
20430,we're the good guys,we are the good guys,Somos los buenos,nous sommes les gentils,wir sind die Guten
20431,we're the same size,we are the same size,somos del mismo tamaño,nous sommes de la même taille,wir sind gleich groß
20432,we're tired of this,we are tired of this,estamos cansados ​​de esto,nous en avons marre,wir haben es satt
20433,we're truly worried,we are truly worried,estamos realmente preocupados,nous sommes vraiment inquiets,wir sind wirklich besorgt
20434,we're trying to win,we are trying to win,estamos tratando de ganar,nous essayons de gagner,wir versuchen zu gewinnen
20435,we're very grateful,we are very grateful,estamos muy agradecidos,nous sommes très reconnaissants,wir sind sehr dankbar
20436,we're wasting water,we are wasting water,estamos desperdiciando agua,nous gaspillons de l'eau,wir verschwenden wasser
20437,we've all done that,we ve all done that,todos hemos hecho eso,nous avons tous fait ça,das haben wir alle gemacht
20438,we've already begun,we ve already begun,ya hemos comenzado,nous avons déjà commencé,wir haben schon angefangen
20439,we've already tried,we ve already tried,ya lo hemos intentado,nous avons déjà essayé,wir haben es schon versucht
20440,we've made progress,we ve made progress,hemos progresado,nous avons fait des progrès,wir haben Fortschritte gemacht
20441,welcome to our home,welcome to our home,Bienvenido a nuestra casa,Bienvenue chez nous,Willkommen in unserem Zuhause
20442,welcome to the club,welcome to the club,Bienvenido al club,Bienvenue au club,willkommen im Klub
20443,well will you come,well will you come,bien vendrás,tu viendras bien,gut wirst du kommen
20444,were you born there,were you born there,Naciste ahí,étiez-vous né là-bas,wurdest du dort geboren
20445,were you successful,were you successful,tuviste éxito,avez-vous réussi,warst du erfolgreich
20446,what a bizarre idea,what a bizarre idea,que idea tan extraña,quelle drôle d'idée,was für eine bizarre idee
20447,what a horrible man,what a horrible man,que hombre tan horrible,quel homme horrible,Was für ein schrecklicher Mann
20448,what a lazy teacher,what a lazy teacher,que perezoso profesor,quel professeur paresseux,Was für ein fauler Lehrer
20449,what a lovely dress,what a lovely dress,que hermoso vestido,quelle jolie robe,Was für ein schönes Kleid
20450,what a pretty woman,what a pretty woman,que linda mujer,quelle jolie femme,Was für eine hübsche Frau
20451,what a terrible day,what a terrible day,que terrible día,quelle terrible journée,was für ein schrecklicher Tag
20452,what am i to do now,what am i to do now,que voy a hacer ahora,que dois-je faire maintenant,was soll ich jetzt machen
20453,what an opportunity,what an opportunity,que oportunidad,quelle opportunité,Was für eine Gelegenheit
20454,what are the causes,what are the cecauses,cuales son las causas,quelles sont les causes,Was sind die Ursachen
20455,what are they doing,what are they doing,qué están haciendo,que font-ils,Was machen sie
20456,what are you eating,what are you eating,Qué estás comiendo,Qu'est-ce que tu manges,was isst du
20457,what are you hiding,what are you hiding,Qué estás escondiendo,qu'est-ce que tu caches,Was versteckst du
20458,what are you saying,what are you saying,qué estas diciendo,qu'est-ce que tu dis,was sagst du
20459,what can i tell tom,what can i tell tom,¿Qué puedo decirle a Tom?,que puis-je lui dire,was soll ich tom sagen
20460,what can i tell you,what can i tell you,que te puedo decir,que puis-je te dire,Was kann ich dir sagen
20461,what can you do now,what can you do now,que puedes hacer ahora,Que pouvez-vous faire maintenant,was kannst du jetzt tun
20462,what caused the war,what cecaused the war,que causo la guerra,ce qui a causé la guerre,was den Krieg verursacht hat
20463,what color are they,what color are they,de que color son,de quelle couleur sont-ils,welche Farbe sind sie
20464,what could go wrong,what could go wrong,qué puede salir mal,Qu'est-ce qui pourrait mal se passer,was könnte schiefgehen
20465,what did i do wrong,what did i do wrong,qué hice mal,Qu'ai-je fait de mal,was habe ich falsch gemacht
20466,what did i just say,what did i just say,que acabo de decir,Qu'est-ce que je viens de dire,was habe ich gerade gesagt
20467,what did i tell you,what did i tell you,Qué te dije,Qu'est-ce que je t'avais dit,was habe ich dir gesagt
20468,what did tom answer,what did tom answer,¿Qué respondió Tom?,qu'a répondu tom,was hat tom geantwortet
20469,what did he not buy,what did he not buy,que no compro,qu'est-ce qu'il n'a pas acheté,was hat er nicht gekauft
20470,what did that prove,what did that prove,que prueba eso,qu'est-ce que cela prouve,was hat das bewiesen
20471,what did you answer,what did you answer,que respondiste,qu'avez-vous répondu,was hast du geantwortet
20472,what did you decide,what did you decide,que decidiste,qu'avez-vous décidé,wofür hast du dich entschieden
20473,what did you expect,what did you expect,que esperabas,Qu'est-ce que vous attendiez,was hast du erwartet
20474,what do i look like,what do i look like,como me veo,de quoi j'ai l'air,Wie sehe ich aus
20475,what do you suggest,what do you suggest,que sugieres,que suggérez-vous,was schlagen Sie vor
20476,what does he expect,what does he expect,que espera el,qu'attend-il,was erwartet er
20477,what does it matter,what does it matter,Que importa,Qu'importe,Was macht es aus
20478,what does that cost,what does that cost,que cuesta eso,qu'est-ce que ça coûte,was kostet das
20479,what does that mean,what does that mean,Qué significa eso,qu'est-ce que cela signifie,was bedeutet das
20480,what does this mean,what does this mean,Qué quiere decir esto,Qu'est-ce que cela signifie,Was bedeutet das
20481,what don't you have,what do not you have,que no tienes,qu'est-ce que tu n'as pas,was haben Sie nicht
20482,what don't you like,what do not you like,que no te gusta,Qu'est-ce que tu n'aimes pas,was magst du nicht
20483,what happened today,what happened today,que paso hoy,ce qui est arrivé aujourd'hui,Was ist heute passiert
20484,what have you eaten,what have you eaten,que has comido,Qu'as-tu mangé,Was hast du gegessen
20485,what have you heard,what have you heard,que has escuchado,qu'avez-vous entendu,was hast du gehört
20486,what is for dessert,what is for dessert,que hay de postre,qu'est-ce qu'il y a pour le dessert,was gibt es zum nachtisch
20487,what is its purpose,what is its purpose,cual es su propósito,quel est son objectif,was ist seine Aufgabe
20488,what is popular now,what is popular now,lo que es popular ahora,ce qui est populaire maintenant,was jetzt beliebt ist
20489,what is this letter,what is this letter,que es esta carta,quelle est cette lettre,was ist das für ein brief
20490,what lovely weather,what lovely weather,que lindo clima,quel beau temps,was für ein schönes wetter
20491,what made her do so,what made her do so,que la hizo hacerlo,qu'est-ce qui l'a poussée à faire ça,was sie dazu bewogen hat
20492,what on earth is it,what on earth is it,que diablos es,qu'est-ce que c'est,was um alles in der Welt ist das
20493,what should i bring,what should i bring,que deberia llevar,que dois-je apporter,was soll ich mitbringen
20494,what should we cook,what should we cook,que debemos cocinar,que devons-nous cuisiner,was sollen wir kochen
20495,what smells so good,what smells so good,que huele tan bien,ce qui sent si bon,was so gut riecht
20496,what time is brunch,what time is brunch,a que hora es el brunch,à quelle heure est le brunch,Wann ist Brunch?
20497,what time is dinner,what time is dinner,Qué hora es la cena,A quelle heure est le dîner,Um wieviel Uhr gibt es Abendessen
20498,what time is it now,what time is it now,qué hora es en este momento,quelle heure est-il maintenant,Wie viel Uhr ist es jetzt
20499,what time is sunset,what time is sunset,a que hora es el atardecer,à quelle heure est le coucher du soleil,wann ist sonnenuntergang
20500,what was i thinking,what was i thinking,Qué estaba pensando,à quoi je pensais,was dachte ich
20501,what was that noise,what was that noise,que fue ese ruido,Quel était ce bruit,Was war das für ein Geräusch
20502,what was that sound,what was that sound,que fue ese sonido,quel était ce son,Was war das für ein Geräusch
20503,what was that thing,what was that thing,que fue esa cosa,quelle était cette chose,Was war das für ein Ding?
20504,what was their goal,what was their goal,cual era su objetivo,quel était leur but,was war ihr ziel
20505,what were you doing,what were you doing,que estabas haciendo,que faisiez-vous,Was hast du gemacht
20506,what would tom need,what would tom need,¿Qué necesitaría Tom?,de quoi aurait-il besoin,was würde Tom brauchen
20507,what would you like,what would you like,Qué le gustaría,que désirez-vous,was möchten Sie gerne
20508,what're you good at,what are you good at,En qué eres bueno,en quoi es tu bon,Worin bist du gut
20509,what're you writing,what are you writing,que estas escribiendo,Qu'est-ce que tu écris,was schreibst du
20510,what's tom drinking,what is tom drinking,que bebe tom,qu'est-ce que tom boit,was trinkt tom
20511,what's all that for,what is all that for,para que sirve todo eso,à quoi ça sert tout ça,wozu das alles
20512,what's all the fuss,what is all the fuss,¿Qué es todo el alboroto?,c'est quoi tout ce remue-ménage,was soll die ganze Aufregung
20513,what's done is done,what is done is done,"lo hecho, hecho está",ce qui est fait est fait,"was getan wird, ist getan"
20514,what's got into you,what is got into you,que te pasa,qu'est-ce qui te prend,was ist in dich gefahren
20515,what's in the truck,what is in the truck,que hay en el camion,qu'y a-t-il dans le camion,was ist im lkw
20516,what's in your hand,what is in your hand,Que tienes en la mano,qu'y a-t-il dans ta main,was ist in deiner Hand
20517,what's it all about,what is it all about,que es todo esto,C'est à propos de quoi,Worum geht es
20518,what's it look like,what is it look like,como se ve,à quoi ressemble-t-il,wie sieht es aus
20519,what's it made from,what is it made from,De que esta hecho,de quoi est-ce fait,Aus was ist es gemacht
20520,what's new with you,what is new with you,que hay de nuevo contigo,quoi de neuf,Was gibt es Neues bei dir
20521,what's the big deal,what is the big deal,cuál es el problema,Quel est le gros problème,was ist die große Sache
20522,what's the big rush,what is the big rush,cual es la gran prisa,quelle est la grande ruée,was ist der große Ansturm
20523,what's the bus fare,what is the bus fare,cual es la tarifa del autobus,quel est le prix du bus,Was kostet der Bus?
20524,what's the plan now,what is the plan now,cual es el plan ahora,quel est le plan maintenant,was ist denn jetzt geplant
20525,what's the solution,what is the solution,cuál es la solución,quelle est la solution,Was ist die Lösung
20526,what's the time now,what is the time now,Cuál es la hora actual,Quelle heure est-il maintenant,Wieviel Uhr ist es jetzt
20527,what's there to say,what is there to say,Qué se puede decir,Qu'y a-t-il à dire,was gibt es zu sagen
20528,what's this key for,what is this key for,para que sirve esta llave,à quoi sert cette clé,wofür ist dieser schlüssel
20529,what's today's date,what is today s date,Cuál es la fecha de hoy,quelle est la date d'aujourd'hui,welches Datum ist heute
20530,what's worrying you,what is worrying you,que te preocupa,qu'est-ce qui t'inquiète,was beunruhigt dich
20531,what's your address,what is your address,Cuál es su dirección,Quelle est votre adresse,Welche ist Ihre Adresse
20532,what's your problem,what is your problem,cual es tu problema,Quel est votre problème,was ist dein Problem
20533,when can i call you,when can i call you,cuando puedo llamarte,quand puis-je t'appeler,Wann kann Ich dich anrufen
20534,when did i say that,when did i say that,Cuando dije eso,quand ai-je dit ça,Wann habe ich das gesagt
20535,when did tom arrive,when did tom arrive,cuando llego tom,quand est-ce que tom est arrivé,wann ist tom angekommen
20536,when did this occur,when did this occur,cuando ocurrio esto,quand est-ce arrivé,wann ist das passiert
20537,when did you arrive,when did you arrive,Cuándo llegaste,quand es-tu arrivé,Wann seid ihr angekommen
20538,when did you buy it,when did you buy it,Cuándo lo compraste,Quand l'as-tu acheté,Wann hast du es gekauft
20539,when did you get up,when did you get up,cuando te levantaste,Quand vous êtes-vous levé,wann bist du aufgestanden
20540,when does it arrive,when does it arrive,Cuándo llega,quand arrive-t-il,wann kommt es an
20541,when is school over,when is school over,cuando termina la escuela,quand est l'école finie,wann ist die schule zu ende
20542,when will it happen,when will it happen,cuando sucederá,quand cela arrivera-t-il,wann wird es passieren
20543,when will we arrive,when will we arrive,cuando llegaremos,quand allons-nous arriver,wann werden wir ankommen
20544,when will you leave,when will you leave,cuándo te vas,quand allez-vous partir,wann wirst du gehen
20545,when will you start,when will you start,Cuándo empezarás,Quand commenceras-tu,wann fängst du an
20546,when's tom arriving,when is tom arriving,cuando llega tom,quand est-ce que tom arrive,wann kommt tom
20547,where are my things,where are my things,donde estan mis cosas,où sont mes affaires,wo sind meine Sachen
20548,where are the forks,where are the forks,donde estan los tenedores,où sont les fourches,wo sind die Gabeln
20549,where are the goats,where are the goats,donde estan las cabras,où sont les chèvres,wo sind die ziegen
20550,where are the shoes,where are the shoes,dónde están los zapatos,où sont les chaussures,wo sind die Schuhe
20551,where are you bound,where are you bound,donde estas atado,où es-tu lié,wohin bist du gebunden
20552,where are you going,where are you going,A dónde vas,où allez-vous,wo gehst du hin
20553,where are your keys,where are your keys,dónde están tus llaves,où sont tes clés,Wo sind deine Schlüssel
20554,where are your kids,where are your kids,Dónde están tus hijos,où sont vos enfants,wo sind deine Kinder
20555,where could they be,where could they be,¿Dónde podrían estar?,où pourraient-ils être,wo könnten sie sein
20556,where have you been,where have you been,Dónde has estado,où étais-tu,wo bist du gewesen
20557,where is tom buried,where is tom buried,donde esta enterrado tom,où est enterré tom,wo ist tom begraben
20558,where is his family,where is his family,donde esta su familia,où est sa famille,wo ist seine familie
20559,where is it located,where is it located,donde está localizado,où est-il situé,wo befindet es sich
20560,where is the bridge,where is the bridge,donde esta el puente,où est le pont,wo ist die brücke
20561,where is the butter,where is the butter,donde esta la mantequilla,où est le beurre,wo ist die Butter
20562,where is the school,where is the school,dónde está la escuela,où est l'école,wo ist die Schule
20563,where is the toilet,where is the toilet,donde esta el inodoro,où sont les toilettes,Wo ist die Toilette
20564,where is your house,where is your house,Donde esta tu casa,où est ta maison,Wo ist dein Haus
20565,where is your money,where is your money,donde esta tu dinero,où est ton argent,wo ist dein geld
20566,where were you born,where were you born,donde naciste,où êtes-vous né,Wo bist du geboren
20567,where's mary's ring,where is mary s ring,donde esta el anillo de mary,où est la bague de marie,Wo ist Marias Ring
20568,where's the airport,where is the airport,donde esta el aeropuerto,où est l'aéroport,wo ist der Flughafen
20569,where's the kitchen,where is the kitchen,donde esta la cocina,Ou est la cuisine,wo ist die Küche
20570,where's the library,where is the library,Donde está la biblioteca,où est la bibliothèque,wo befindet sich die Bibliothek
20571,where's the mistake,where is the mistake,donde esta el error,où est l'erreur,wo ist der fehler
20572,where's the station,where is the station,dónde está la estación,ou est la gare,Wo ist die Station
20573,where's your father,where is your father,Dónde está tu Padre,où est ton père,wo ist dein Vater
20574,where's your mother,where is your mother,dónde está tu madre,où est ta mère,wo ist deine Mutter
20575,where's your school,where is your school,Dónde está su escuela,où est ton école,Wo ist deine Schule
20576,where's your sister,where is your sister,donde está tu hermana,où est ta sœur,Wo ist deine Schwester
20577,where's your weapon,where is your weapon,donde esta tu arma,où est ton arme,wo ist deine waffe
20578,which book is yours,which book is yours,cual libro es el tuyo,quel livre est le tien,welches buch ist deins
20579,which one is broken,which one is broken,cual esta roto,lequel est cassé,welche kaputt ist
20580,which team will win,which team will win,qué equipo ganará,quelle équipe va gagner,welche Mannschaft gewinnt
20581,who am i addressing,who am i addressing,a quien me dirijo,à qui je m'adresse,wen spreche ich an
20582,who am i forgetting,who am i forgetting,a quien estoy olvidando,qui est-ce que j'oublie,Wen vergesse ich
20583,who are those women,who are those women,quienes son esas mujeres,qui sont ces femmes,wer sind diese Frauen
20584,who are we fighting,who are we fighting,contra quien estamos peleando,qui combattons-nous,gegen wen kämpfen wir
20585,who are you texting,who are you texting,A quién le escribes,A qui écris tu,Wem schreibst du
20586,who baked this cake,who baked this cake,quien horneó este pastel,qui a fait ce gâteau,der diesen Kuchen gebacken hat
20587,who believes in god,who believes in god,quien cree en dios,qui croit en dieu,der an Gott glaubt
20588,who broke the chair,who broke the chair,quien rompio la silla,qui a cassé la chaise,der den Stuhl kaputt gemacht hat
20589,who called the cops,who called the cops,quien llamó a la policía,qui a appelé les flics,wer hat die polizei gerufen
20590,who could forget it,who could forget it,quién podría olvidarlo,qui pourrait l'oublier,wer könnte es vergessen
20591,who did that to you,who did that to you,quien te hizo eso,qui t'as fait ça,Wer hat dir das gemacht
20592,who did this to you,who did this to you,quien te hizo esto,Qui vous a fait cela,Wer hat dir das angetan
20593,who did you go with,who did you go with,con quién fuiste,avec qui es-tu allé,mit wem bist du gegangen
20594,who did you talk to,who did you talk to,con quien hablaste,à qui as-tu parlé,Mit wem hast du geredet
20595,who do you work for,who do you work for,Para quién trabajas,Pour qui travailles-tu,für wen arbeitest du
20596,who else helped you,who else helped you,quien mas te ayudo,qui d'autre t'a aidé,wer hat dir noch geholfen
20597,who found my wallet,who found my wallet,quien encontro mi billetera,qui a trouvé mon portefeuille,der mein Portemonnaie gefunden hat
20598,who is in the house,who is in the house,quien está en la casa,qui est dans la maison,wer ist im haus
20599,who is on the train,who is on the train,quien esta en el tren,qui est dans le train,wer sitzt im zug
20600,who is your brother,who is your brother,quien es tu hermano,qui est ton frère,wer ist dein Bruder
20601,who is your teacher,who is your teacher,quién es tu profesor,qui est votre enseignant,wer ist dein lehrer
20602,who knew about this,who knew about this,quien sabia de esto,qui était au courant de ça,wer wusste davon
20603,who let you come in,who let you come in,quien te dejo entrar,qui t'a laissé entrer,der dich hereingelassen hat
20604,who locked the door,who locked the door,quien cerró la puerta,qui a fermé la porte,der die Tür verschlossen hat
20605,who owns this house,who owns this house,quien es el dueño de esta casa,à qui appartient cette maison,wem gehört dieses Haus
20606,who owns this truck,who owns this truck,quien es el dueño de este camion,à qui appartient ce camion,wem gehört dieser wagen
20607,who sent this to us,who sent this to us,quien nos envió esto,qui nous a envoyé ça,der uns das geschickt hat
20608,who should i inform,who should i inform,a quien debo informar,qui dois-je informer,wen soll ich informieren
20609,who stole the apple,who stole the apple,quien robó la manzana,qui a volé la pomme,der den Apfel gestohlen hat
20610,who wants apple pie,who wants apple pie,quien quiere tarta de manzana,qui veut de la tarte aux pommes,wer will apfelkuchen
20611,who was responsible,who was responsible,quien fue el responsable,qui était responsable,wer war verantwortlich
20612,who won the contest,who won the contest,quien gano el concurso,qui a gagné le concours,wer hat den Wettbewerb gewonnen
20613,who would wear that,who would wear that,quien usaria eso,qui porterait ça,wer würde das tragen
20614,who wrote that poem,who wrote that poem,quien escribio ese poema,qui a écrit ce poème,der dieses Gedicht geschrieben hat
20615,who wrote the bible,who wrote the bible,quien escribio la biblia,qui a écrit la bible,der die Bibel geschrieben hat
20616,who wrote this song,who wrote this song,quien escribio esta cancion,qui a écrit cette chanson,der dieses Lied geschrieben hat
20617,who's tom afraid of,who is tom afraid of,de quien tiene miedo tom,de qui a-t-il peur,vor wem hat tom angst
20618,who's got questions,who is got questions,quien tiene preguntas,qui a des questions,wer hat fragen
20619,who's here with you,who is here with you,quien esta aqui contigo,qui est ici avec toi,wer ist hier bei dir
20620,who's on duty today,who is on duty today,Quién está en turno hoy,Qui est-ce qui travaille aujourd'hui,wer hat heute Dienst
20621,who's replacing you,who is replacing you,quien te reemplaza,qui te remplace,wer ersetzt dich
20622,who's that cute boy,who is that cute boy,quien es ese chico lindo,qui est ce garçon mignon,wer ist der süße junge
20623,who's that cute guy,who is that cute guy,quien es ese chico lindo,qui est ce mec mignon,wer ist der süße Kerl
20624,who's the pizza for,who is the pizza for,para quien es la pizza,à qui est la pizza,für wen ist die pizza
20625,who's this hot babe,who is this hot babe,quien es esta nena caliente,qui est cette fille chaude,Wer ist dieses heiße Babe
20626,whose fault is that,whose fault is that,de quien es la culpa,à qui la faute,wessen Schuld ist das
20627,whose house is this,whose house is this,de quien es esta casa,à qui est cette maison,wessen Haus ist das
20628,whose idea was that,whose idea was that,de quien fue la idea,dont l'idée était que,wessen Idee war das
20629,whose paper is this,whose paper is this,de quien es este papel,à qui est ce papier,Wessen Papier ist das?
20630,whose phone is that,whose phone is that,De quién es ese teléfono,à qui est ce téléphone,Wessen Handy ist das
20631,whose phone is this,whose phone is this,de quien es este telefono,à qui est ce téléphone,Wessen Telefon ist das?
20632,why am i doing this,why am i doing this,Por qué estoy haciendo esto,pourquoi est-ce que je fais cela,warum mache ich das
20633,why am i still here,why am i still here,¿Por qué sigo aquí?,pourquoi suis-je encore ici,warum bin ich noch hier
20634,why are we laughing,why are we laughing,por qué nos reímos,pourquoi rions-nous,warum lachen wir
20635,why are you all sad,why are you all sad,¿Por qué estás todo triste?,pourquoi êtes-vous tous tristes,warum seid ihr alle traurig
20636,why are you at home,why are you at home,porque estas en casa,pourquoi es-tu à la maison,warum bist du zu hause
20637,why are you cursing,why are you cursing,por que estas maldiciendo,pourquoi maudissez-vous,warum fluchst du
20638,why are you limping,why are you limping,porque estas cojeando,pourquoi boites-tu,warum humpelst du
20639,why are you running,why are you running,por qué estás corriendo,pourquoi cours-tu,Warum rennst du
20640,why are you so busy,why are you so busy,porque estas tan ocupado,pourquoi es-tu si occupé,Warum bist du so beschäftigt
20641,why are you so fast,why are you so fast,por que eres tan rapido,pourquoi es-tu si rapide,warum bist du so schnell
20642,why are you so lazy,why are you so lazy,¿Por qué eres tan perezoso?,pourquoi es-tu si paresseux,warum bist du so faul
20643,why are you so mean,why are you so mean,porque eres tan malo,pourquoi es tu si méchant,warum bist du so gemein
20644,why are you staying,why are you staying,porque te quedas,pourquoi restes-tu,warum bleibst du
20645,why are you waiting,why are you waiting,por qué estas esperando,pourquoi attends tu,Warum wartest du
20646,why are you with me,why are you with me,porque estas conmigo,pourquoi es-tu avec moi,warum bist du bei mir
20647,why are you worried,why are you worried,Por que estas preocupado,pourquoi es-tu inquiet,Weshalb bist du besorgt
20648,why are you yelling,why are you yelling,Por qué estás gritando,pourquoi cries-tu,Warum schreist du
20649,why can't i do that,why cannot i do that,¿Por qué no puedo hacer eso?,pourquoi je ne peux pas faire ça,warum kann ich das nicht
20650,why can't i see you,why cannot i see you,por qué no puedo verte,Pourquoi je ne peux pas te voir,Warum kann ich dich nicht sehen
20651,why can't you do it,why cannot you do it,¿Por qué no puedes hacerlo?,pourquoi ne peux-tu pas le faire,warum kannst du das nicht
20652,why did i trust you,why did i trust you,¿Por qué confié en ti?,pourquoi t'ai-je fait confiance,warum habe ich dir vertraut
20653,why did tom do that,why did tom do that,porque tom hizo eso,pourquoi tom a fait ça,warum hat tom das gemacht
20654,why did tom want it,why did tom want it,¿Por qué lo quería Tom?,Pourquoi Tom l'a-t-il voulu,warum wollte tom es
20655,why did we say that,why did we say that,¿Por qué dijimos eso?,pourquoi avons-nous dit cela,warum haben wir das gesagt
20656,why did you call me,why did you call me,por qué me llamaste,pourquoi m'as-tu appelé,warum hast du mich angerufen
20657,why did you do that,why did you do that,Por qué hiciste eso,pourquoi fais-tu ça,warum hast du das getan
20658,why did you go home,why did you go home,por qué te fuiste a casa,pourquoi es-tu rentré à la maison,warum bist du nach hause gegangen
20659,why did you kiss me,why did you kiss me,porqué me besaste,pourquoi m'as-tu embrassé,warum hast du mich geküsst
20660,why did you like it,why did you like it,por qué te gusta,pourquoi avez-vous aimé,Warum hat es dir gefallen
20661,why didn't tom move,why did not tom move,¿Por qué Tom no se movió?,pourquoi n'a-t-il pas bougé,warum bewegte sich tom nicht
20662,why didn't you come,why did not you come,por qué no viniste,pourquoi tu n'es pas venu,warum bist du nicht gekommen
20663,why do you say that,why do you say that,Por qué dices eso,Pourquoi dites vous cela,Warum sagst du das
20664,why do you think so,why do you think so,Por qué piensas eso,Pourquoi penses-tu ça,warum denkst du das
20665,why don't we all go,why do not we all go,porque no vamos todos,pourquoi n'allons-nous pas tous,warum gehen wir nicht alle
20666,why don't you start,why do not you start,porque no empiezas,pourquoi ne commencez-vous pas,warum fängst du nicht an
20667,why is tom quitting,why is tom quitting,¿Por qué Tom renuncia?,pourquoi tom démissionne,warum hört tom auf
20668,why is the bus late,why is the bus late,¿Por qué llega tarde el autobús?,pourquoi le bus est en retard,Warum hat der Bus Verspätung
20669,why is the dog here,why is the dog here,¿Por qué está el perro aquí?,pourquoi le chien est-il ici,Warum ist der Hund hier?
20670,why is the light on,why is the light on,¿Por qué está encendida la luz?,pourquoi la lumière est-elle allumée,warum ist das Licht an
20671,why is the sky blue,why is the sky blue,porque el cielo es azul,pourquoi le ciel est bleu,Warum ist der Himmel blau
20672,why is this so hard,why is this so hard,Por qué es tan difícil,Pourquoi est-ce si difficile,warum ist das so schwer
20673,why not let tom try,why not let tom try,¿Por qué no dejar que Tom lo intente?,pourquoi ne pas laisser tom essayer,warum nicht Tom versuchen lassen
