,English,English_cleaned,Spanish,French,German
943,they'll kill you,they will kill you,ellos te mataran,ils vont te tuer,sie werden dich töten
944,they'll remember,they will remember,recordarán,ils se souviendront,sie werden sich erinnern
945,they're all dead,they are all dead,todos están muertos,ils sont tous morts,Sie sind alle tot
946,they're all fake,they are all fake,todos son falsos,ils sont tous faux,sie sind alle gefälscht
947,they're all gone,they are all gone,todos se han ido,ils sont tous partis,sie sind alle weg
948,they're all here,they are all here,todos están aquí,ils sont tous ici,sie sind alle hier
949,they're all mine,they are all mine,todos son mios,ils sont tous à moi,sie sind alle mein
950,they're all nuts,they are all nuts,todos estan locos,ils sont tous fous,sie sind alle verrückt
951,they're all safe,they are all safe,todos están a salvo,ils sont tous en sécurité,sie sind alle sicher
952,they're amateurs,they are amateurs,ellos son aficionados,ce sont des amateurs,sie sind Amateure
953,they're brothers,they are brothers,ellos son hermanos,ils sont frères,sie sind Brüder
954,they're fighting,they are fighting,estan peleando,ils se battent,Sie kämpfen
955,they're involved,they are involved,Ellos están involucrados,ils sont impliqués,sie sind beteiligt
956,they're not dead,they are not dead,ellos no estan muertos,ils ne sont pas morts,sie sind nicht tot
957,they're not evil,they are not evil,ellos no son malvados,ils ne sont pas méchants,sie sind nicht böse
958,they're not mine,they are not mine,no son mios,ils ne sont pas à moi,Das sind nicht meine
959,they're so funny,they are so funny,ellos son muy graciosos,ils sont si drôles,Die sind so witzig
960,they're stalling,they are stalling,se estan estancando,ils calent,sie stocken
961,they're students,they are students,ellos son estudiantes,ils sont étudiants,Sie sind Studenten
962,they're traitors,they are traitors,ellos son traidores,ce sont des traîtres,sie sind Verräter
963,they've all left,they have all left,se han ido todos,ils sont tous partis,sie sind alle gegangen
964,things got weird,things got weird,las cosas se pusieron raras,les choses sont devenues bizarres,die Dinge wurden seltsam
965,this and no more,this and no more,esto y nada mas,ça et pas plus,dies und nicht mehr
966,this bed is cold,this bed is cold,esta cama esta fria,ce lit est froid,Dieses Bett ist kalt
967,this book is new,this book is new,este libro es nuevo,ce livre est nouveau,dieses Buch ist neu
968,this book is old,this book is old,este libro es viejo,ce livre est vieux,dieses Buch ist alt
969,this car is fast,this car is fast,este auto es rapido,cette voiture est rapide,Dieses Auto ist schnell
970,this car is mine,this car is mine,este coche es mío,cette voiture est la mienne,dieses Auto ist meins
971,this doesn't fit,this does not fit,esto no encaja,cela ne convient pas,das passt nicht
972,this dog is mine,this dog is mine,este perro es mio,ce chien est à moi,dieser hund gehört mir
973,this feels right,this feels right,esto se siente bien,ça fait du bien,das fühlt sich richtig an
974,this feels weird,this feels weird,esto se siente raro,ça fait bizarre,das fühlt sich komisch an
975,this game is fun,this game is fun,este juego es divertido,ce jeu est amusant,Dieses Spiel macht Spaß
976,this guy's tough,this guy s tough,este tipo es duro,ce mec est dur,Dieser Typ ist hart
977,this hat is mine,this hat is mine,este sombrero es mio,ce chapeau est à moi,dieser Hut ist mein
978,this is room 839,this is room 839,esta es la habitación 839,c'est la chambre 839,Das ist Zimmer 839
979,this is a hybrid,this is a hybrid,esto es un hibrido,c'est un hybride,das ist eine hybride
980,this is a pencil,this is a pencil,esto es un lápiz,c'est un stylo,das ist ein Bleistift
981,this is accurate,this is accurate,esto es exacto,c'est exact,das ist genau
982,this is an apple,this is an apple,esto es una manzana,Ceci est une pomme,das ist ein Apfel
983,this is an order,this is an order,esta es una orden,c'est une commande,das ist ein Befehl
984,this is annoying,this is annoying,esto es molesto,c'est énervant,das ist ärgerlich
985,this is bad news,this is bad news,estas son malas noticias,c'est une mauvaise nouvelle,das sind schlechte Nachrichten
986,this is big news,this is big news,esta es una gran noticia,c'est une grande nouvelle,das sind große Neuigkeiten
987,this is hopeless,this is hopeless,esto es inútil,c'est sans espoir,das ist hoffnungslos
988,this is insanity,this is insanity,esto es una locura,c'est de la folie,das ist Wahnsinn
989,this is my coach,this is my coach,este es mi entrenador,c'est mon entraîneur,das ist mein trainer
990,this is my horse,this is my horse,este es mi caballo,c'est mon cheval,das ist mein pferd
991,this is my house,this is my house,esta es mi casa,c'est ma maison,das ist mein Haus
992,this is my money,this is my money,este es mi dinero,c'est mon argent,das ist mein Geld
993,this is my phone,this is my phone,éste es mi teléfono,c'est mon téléphone,das ist mein Telefon
994,this is nonsense,this is nonsense,esto no tiene sentido,Ça n'a pas de sens,Das ist schwachsinn
995,this is not good,this is not good,esto no está bien,ce n'est pas bien,das ist nicht gut
996,this is not safe,this is not safe,esto no es seguro,ce n'est pas sûr,das ist nicht sicher
997,this is not salt,this is not salt,esto no es sal,ce n'est pas du sel,das ist kein salz
998,this is not true,this is not true,esto no es verdad,ce n'est pas vrai,das ist nicht wahr
999,this is official,this is official,esto es oficial,c'est officiel,das ist offiziell
